GEOID,x_coords,y_coords
4017940301,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[33.97371848154254, 33.93041721135332, 33.84381467097487, 33.800513400785654, 33.84381467097487, 33.93041721135332, 33.97371848154254]"
4017963700,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[34.579936264191645, 34.536634994002426, 34.450032453623976, 34.40673118343476, 34.450032453623976, 34.536634994002426, 34.579936264191645]"
4021000313,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[33.62730832002877, 33.58400704983955, 33.4974045094611, 33.45410323927188, 33.4974045094611, 33.58400704983955, 33.62730832002877]"
4021001408,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[33.021090537379656, 32.97778926719044, 32.89118672681199, 32.84788545662277, 32.89118672681199, 32.97778926719044, 33.021090537379656]"
4021001305,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[32.97778926719043, 32.93448799700121, 32.84788545662276, 32.804584186433544, 32.84788545662276, 32.93448799700121, 32.97778926719043]"
4021001306,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[32.84788545662277, 32.80458418643355, 32.7179816460551, 32.67468037586588, 32.7179816460551, 32.80458418643355, 32.84788545662277]"
4021001405,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[32.89118672681199, 32.84788545662277, 32.76128291624432, 32.7179816460551, 32.76128291624432, 32.84788545662277, 32.89118672681199]"
4021001406,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[33.064391807568875, 33.021090537379656, 32.934487997001206, 32.89118672681199, 32.934487997001206, 33.021090537379656, 33.064391807568875]"
4021001403,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[32.804584186433544, 32.761282916244326, 32.674680375865876, 32.63137910567666, 32.674680375865876, 32.761282916244326, 32.804584186433544]"
4021000208,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[33.28089815851499, 33.23759688832577, 33.15099434794732, 33.1076930777581, 33.15099434794732, 33.23759688832577, 33.28089815851499]"
4019004029,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[32.241667673973666, 32.19836640378445, 32.111763863406, 32.06846259321678, 32.111763863406, 32.19836640378445, 32.241667673973666]"
4019004030,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[32.501475295108996, 32.45817402491978, 32.37157148454133, 32.32827021435211, 32.37157148454133, 32.45817402491978, 32.501475295108996]"
